Open,High,Low,Close,Volume,Dividends,Stock Splits,date
124.5406566516343,127.66966538119843,122.71123277650611,123.50098419189453,315516700,0.0,0.0,2024-06-28
123.43101767415311,124.80058023875378,118.79248328515592,124.26075744628906,284885500,0.0,0.0,2024-07-01
121.09174155643306,123.37102788557134,120.99177466417784,122.63125610351562,218374000,0.0,0.0,2024-07-02
121.62158223669927,128.23948669433594,121.32167392885506,128.23948669433594,215749000,0.0,0.0,2024-07-03
127.33977391790616,128.8093185769184,125.64031378509098,125.79026794433594,214176700,0.0,0.0,2024-07-05
127.44974049199097,130.72871117678525,126.99988563877386,128.15951538085938,237677300,0.0,0.0,2024-07-08
130.30884272059,133.77774814549483,128.60936736242857,131.33851623535156,285366600,0.0,0.0,2024-07-09
133.98767413246904,135.0573435645553,132.37818193596397,134.86740112304688,248978600,0.0,0.0,2024-07-10
135.70712534837557,136.10699291263924,127.00987616689795,127.3597640991211,374782700,0.0,0.0,2024-07-11
128.21948675833656,131.87833449876962,127.17982192837307,129.19918823242188,252680500,0.0,0.0,2024-07-12
130.51875474979,131.34849439022378,127.1398252091714,128.39942932128906,208326200,0.0,0.0,2024-07-15
128.399443888776,128.9992452694743,124.54066218246471,126.32009887695312,214769500,0.0,0.0,2024-07-16
121.31168324914647,121.81152537841942,116.68314787779383,117.95274353027344,390086200,0.0,0.0,2024-07-17
121.81151995069708,122.36134931919207,116.52318954339042,121.0517578125,320979500,0.0,0.0,2024-07-18
120.31198744410169,121.5615926473578,117.33293291065064,117.89275360107422,217223800,0.0,0.0,2024-07-19
120.31198922533628,124.03081558560177,119.82214611396347,123.50098419189453,258068900,0.0,0.0,2024-07-22
122.74121959113289,124.65061999218881,122.06143405921047,122.55127716064453,173911000,0.0,0.0,2024-07-23
119.13235710085017,119.91210950952006,113.404171251323,114.21391296386719,327776900,0.0,0.0,2024-07-24
113.00430713907932,116.59316989128614,106.2664375128811,112.24454498291016,460067000,0.0,0.0,2024-07-25
116.15330838570574,116.16329973616865,111.54476366325866,113.0242919921875,293399100,0.0,0.0,2024-07-26
113.6540913121793,116.24326955093025,111.26484684886643,111.55474853515625,248152100,0.0,0.0,2024-07-29
111.48477574142504,111.95462852357666,102.50761612898444,103.6972427368164,486833300,0.0,0.0,2024-07-30
112.86433853836043,118.3026149583043,110.84497234726514,116.9830322265625,473174200,0.0,0.0,2024-07-31
117.49288673851923,120.12206115379604,106.77627053548454,109.1755142211914,523462300,0.0,0.0,2024-08-01
103.72723603649806,108.6856688158307,101.33799137850681,107.23612213134766,482027500,0.0,0.0,2024-08-02
92.03092417423306,103.37734584261189,90.66136171396138,100.41827392578125,552842400,0.0,0.0,2024-08-05
103.80720497448247,107.67598562292382,100.51825062680557,104.21707916259766,409012100,0.0,0.0,2024-08-06
107.7759522927054,108.76564515252367,98.65883717427215,98.87876892089844,411440400,0.0,0.0,2024-08-07
101.96778821260376,105.4666829061735,97.48919964896103,104.93685150146484,391910000,0.0,0.0,2024-08-08
105.60663726461745,106.5663331721716,103.39733611905241,104.7169189453125,290844200,0.0,0.0,2024-08-09
106.28642840966148,111.03492856386595,106.22644979571741,108.9855728149414,325559900,0.0,0.0,2024-08-12
112.4044889345572,116.19329280080893,111.54475995028979,116.10331726074219,312646700,0.0,0.0,2024-08-13
118.49257183753042,118.56254942930454,114.0339810389578,118.04271697998047,339246400,0.0,0.0,2024-08-14
118.722501320516,123.20108240094191,117.43290774825016,122.82120513916016,318086700,0.0,0.0,2024-08-15
121.90149141696253,124.96052256881184,121.14172930418835,124.54065704345703,302589900,0.0,0.0,2024-08-16
124.24072949257322,129.95892333984375,123.38100062032017,129.95892333984375,318333600,0.0,0.0,2024-08-19
128.3594467212338,129.83899033787588,125.85024484050366,127.2098159790039,300087400,0.0,0.0,2024-08-20
127.27979915287139,129.30916459896468,126.62001151002669,128.4594268798828,257883600,0.0,0.0,2024-08-21
129.97894325377314,130.70870844472378,123.06112283059149,123.70092010498047,376189100,0.0,0.0,2024-08-22
125.8202462463596,129.5590704147264,125.18044900805843,129.32913208007812,323230300,0.0,0.0,2024-08-23
129.52909302650434,131.21854656217536,124.33073045337004,126.4200668334961,331964700,0.0,0.0,2024-08-26
